timestamp,tool_name,model_name,prompt_tokens,completion_tokens,reasoning_tokens,total_tokens,prompt_time,completion_time,queue_time,total_time
2026-01-23T19:05:24.964254,News Portal,openai/gpt-oss-120b,164,130,95,294,0.007181569,0.272796523,0.053336501,0.279978092
2026-01-23T19:10:07.353620,News Portal,openai/gpt-oss-120b,164,130,95,294,0.008655103,0.272959635,0.425392357,0.281614738
2026-01-23T19:13:14.863781,News Portal,openai/gpt-oss-120b,164,130,95,294,0.006564663,0.277387121,0.048913917,0.283951784
2026-01-23T19:18:52.541902,Roadmap Creator,openai/gpt-oss-120b,1007,3677,139,4684,0.046905359,7.808298002,0.04954629,7.855203361
2026-01-26T19:39:24.947544,News Portal,openai/gpt-oss-120b,668,714,246,1382,0.03373264,1.528230145,0.053927859,1.561962785
2026-01-26T19:44:29.881725,Quiz Maker (Generation),openai/gpt-oss-20b,256,593,332,849,0.012617556,0.599161424,0.156294224,0.61177898
2026-01-28T19:04:42.042665,Notes Assistant (Chunk 1),openai/gpt-oss-20b,777,917,73,1694,0.054998563,1.007638396,0.051641602,1.062636959
2026-01-28T19:04:44.108553,Notes Assistant (Final),openai/gpt-oss-120b,940,395,44,1335,0.042905949,0.844495819,0.208001133,0.887401768
2026-02-04T18:03:51.557888,Career Planner,openai/gpt-oss-120b,194,2617,103,2811,0.008495101,5.61388888,0.044665158,5.6223839810000005
2026-02-04T18:07:15.157859,Mental Health Analyzer,llama-3.1-8b-instant,327,619,0,946,0.020507467,1.129242112,0.045282681,1.149749579
2026-02-10T17:57:45.617479,News Portal,openai/gpt-oss-120b,699,1015,519,1714,0.23681188,2.167047162,0.045849538,2.403859042
2026-02-13T11:17:12.534465,Career Planner,openai/gpt-oss-120b,190,3146,73,3336,0.007703184,6.745926228,0.288773756,6.753629412
2026-02-13T11:20:23.035998,Notes Assistant (Chunk 1),openai/gpt-oss-20b,3201,1949,69,5150,0.162448264,2.034031722,0.04351424,2.196479986
2026-02-13T11:20:29.183885,Notes Assistant (Chunk 2),llama-3.3-70b-versatile,2873,892,0,3765,0.232759479,2.392239673,0.049120531,2.624999152
2026-02-13T11:20:33.354599,Notes Assistant (Final),openai/gpt-oss-120b,2880,386,88,3266,0.143141968,0.829288958,0.045005343,0.972430926
2026-02-13T11:21:42.483460,News Portal,openai/gpt-oss-120b,666,744,297,1410,0.155556719,1.597671174,0.096948931,1.753227893
2026-02-13T11:23:54.990920,Mental Health Analyzer,llama-3.1-8b-instant,327,613,0,940,0.022039993,0.976173523,0.045659117,0.998213516
2026-02-13T11:24:57.115355,Mental Health Analyzer,llama-3.1-8b-instant,327,701,0,1028,0.046677098,1.042900944,0.047900092,1.089578042
2026-02-13T11:25:15.906967,Mental Health Analyzer,llama-3.1-8b-instant,326,641,0,967,0.023626541,0.921549964,0.046420811,0.945176505
2026-02-16T12:07:17.068508,Career Planner,openai/gpt-oss-120b,226,1610,98,1836,0.011195188,3.457314555,0.045273162,3.468509743
2026-02-16T12:13:59.878954,Research Agent,openai/gpt-oss-120b,2793,1437,354,4230,0.134520815,3.083787474,0.046017964,3.218308289
2026-02-16T12:17:22.431091,Resume Scanner,openai/gpt-oss-120b,1983,1292,265,3275,0.102304441,2.787342874,0.045205138,2.889647315
2026-02-16T12:22:52.472931,Quiz Maker (Generation),openai/gpt-oss-20b,257,1065,568,1322,0.014351401,1.11498843,0.043068549,1.129339831
2026-02-28T15:21:05.679117,Career Planner,openai/gpt-oss-120b,226,1677,41,1903,0.010690807,3.593225484,0.046940413,3.603916291
2026-02-28T16:43:26.637437,Career Planner,openai/gpt-oss-120b,226,1674,118,1900,0.009417311,3.577036328,0.045354099,3.586453639
2026-02-28T20:32:07.223903,Career Planner,openai/gpt-oss-120b,213,1249,84,1462,0.008676857,2.67449504,0.044943271,2.6831718970000002
2026-02-28T22:51:25.879307,Mental Health Analyzer,llama-3.1-8b-instant,328,477,0,805,0.022639464,0.751261935,0.046592256,0.773901399
2026-02-28T22:53:41.589249,News Portal,openai/gpt-oss-120b,164,126,91,290,0.006252047,0.269069233,0.045253263,0.27532128
2026-02-28T23:07:27.686698,Notes Assistant (Chunk 1),openai/gpt-oss-20b,3443,4096,487,7539,0.185258933,4.224350654,0.043627615,4.409609587
2026-02-28T23:07:31.597465,Notes Assistant (Chunk 2),llama-3.3-70b-versatile,3237,1156,0,4393,0.478837814,2.442776212,0.160960454,2.921614026
2026-02-28T23:07:41.349709,Notes Assistant (Final),openai/gpt-oss-120b,4931,4096,281,9027,0.264553601,8.663102555,0.046780665,8.927656156
2026-02-28T23:11:09.982251,Quiz Maker (Generation),openai/gpt-oss-20b,258,1184,640,1442,0.012519361,1.198981626,0.044057008,1.211500987
2026-02-28T23:14:41.974140,Quiz Maker (Explanation),meta-llama/llama-4-maverick-17b-128e-instruct,90,189,0,279,0.001719766,0.339770963,0.244244014,0.341490729
2026-02-28T23:14:42.411191,Quiz Maker (Explanation),meta-llama/llama-4-maverick-17b-128e-instruct,92,203,0,295,0.001738564,0.358937305,0.045523576,0.360675869
2026-02-28T23:17:03.686390,Quiz Maker (Generation),openai/gpt-oss-20b,258,1647,902,1905,0.012562656,1.6818887249999999,0.043985513,1.694451381
2026-02-28T23:19:41.410896,Quiz Maker (Explanation),meta-llama/llama-4-maverick-17b-128e-instruct,91,223,0,314,0.001681736,0.426643088,0.243322024,0.428324824
2026-02-28T23:19:41.972804,Quiz Maker (Explanation),meta-llama/llama-4-maverick-17b-128e-instruct,89,183,0,272,0.001690936,0.347550578,0.155855193,0.349241514
2026-02-28T23:19:42.496723,Quiz Maker (Explanation),meta-llama/llama-4-maverick-17b-128e-instruct,84,211,0,295,0.001527797,0.336989058,0.157265382,0.338516855
